Year,Site,Plot #,Genus,sapling_or_tree,dbh (cm),L/D,Height (m),Frag. Class (1-4),Decay Class (I-IV),Notes
2019,old,19.2,aspen,,39,L,NA,,,
2011,S,11.3,Beach,,21.7,L,8,,,
2009,O,9.1,Birch,,19.0,L,10.5,,,
2009,O,9.2,Birch,,27.0,L,13.95,,,
2019,old,19.2,birch,,33.2,L,NA,,,
2017,S,17.5,birch,,9.0,L,,,,
2017,S,17.5,birch,,23.0,L,,,,
2020,old,20.3,Birch,sapling,,L,,,,
2020,second-growth,20.6,Birch,Sapling,,L,,,,
2020,second-growth,20.6,Birch,Sapling,,L,,,,
2020,second-growth,20.6,Birch,Sapling,,L,,,,
2011,O,11.2,chestnut oak,,20.0,L,12.5,,,
2019,Second,19.1,Confier,,31.8,L,,,,Splits into two trunks near (~1m from) base
2019,Old,19.1,Conifer,,5.4,L,,,,
2019,Old,19.1,Conifer,,40.4,L,,,,
2019,Old,19.1,Conifer,,11.1,L,,,,
2019,Old,19.1,Conifer,,7.7,L,,,,
2019,Old,19.1,Conifer,,21.3,L,,,,
2019,Old,19.1,conifer,,6.4,L,,,,
2019,Old,19.1,conifer,,4.4,L,,,,
2019,Old,19.1,conifer,,32.8,L,,,,
2019,Old,19.1,conifer,Sapling,,L,,,,
2019,Old,19.1,conifer,,25.7,L,,,,
2019,Old,19.1,conifer,Sapling,,?,,1,IV,"1.98m tall, standing upright, no leaves"
2019,Old,19.1,conifer,Sapling,,D,,,,
2019,Old,19.1,conifer,Sapling,,L,,,,
2019,Old,19.1,conifer,Sapling,,L,,,,
2019,Old,19.1,conifer,Sapling,,L,,,,
2019,Old,19.1,conifer,Sapling,,L,,,,
2019,Second,19.1,Conifer,,30.3,D,,2,III,4.5m
2019,Second,19.1,Conifer,,34.2,L,,,,
2019,Second,19.1,Conifer,,29.5,L,,,,
2019,Second,19.1,Conifer,,21,L,,,,
2019,Second,19.1,Conifer,,37.7,L,,,,
2019,Second,19.1,Conifer,,21.5,L,,,,
2011,S,11.2,dogwood,,6.5,L,2.8,,,
2017,S,17.1,H,,22.3,D,3.2,,,
2017,S,17.1,H,,35.1,L,,,,
2017,S,17.1,H,,31.0,L,,,,
2017,S,17.1,H,,24.7,L,,,,
2017,S,17.1,H,,20.2,L,,,,
2017,S,17.1,H,,20.5,L,,,,
2017,S,17.1,H,,20.8,L,,,,
2019,Old,19.1,Hardwood,,40,L,,,,
2019,Old,19.1,hardwood,,46,L,,,,
2019,Old,19.1,Hardwood,,53.2,L,,,,
2019,Second,19.1,Hardwood,,25.6,L,,,,
2019,Second,19.1,Hardwood,,26.6,L,,,,
2019,Second,19.1,Hardwood,,36.5,L,,,,
2019,Second,19.1,Hardwood,,27.7,L,,,,
2009,S,9.2,Hem,,6.0,L,5.85,,,
2009,S,9.2,Hem,,17.0,L,8.7,,,
2009,O,9.2,Hem,,28.0,L,11.7,,,
2009,O,9.2,Hem,,38.1,L,17.55,,,
2009,O,9.2,Hem,,44.5,L,21,,,
2009,S,9.1,Hemlcok,,12.8,L,16.5,,,
2009,O,9.1,Hemlcok,,56.0,L,17.25,,,
2020,old,20.3,Hemlock,,24,D,1.11,4,4,
2017,S,17.5,hemlock,,19.0,D,1.6,,,
2009,O,9.1,Hemlock,,3.0,L,2.4,,,
2011,S,11.3,Hemlock,,31.2,D,2.5,,,
2017,O,17.2,Hemlock,,53.5,D,3.5,,,
2011,S,11.1,Hemlock,,26.2,L,3.894,,,
2019,old,19.2,hemlock,,12.9,D,4.25,2,2,
2011,S,11.2,hemlock,,26.5,L,4.5,,,
2011,S,11.3,Hemlock,,15.6,D,4.7,,,
2020,old forest,20.2,hemlock,,9.7,D,5,4,4,
2011,S,11.3,Hemlock,,26.8,L,6.7,,,
2011,O,11.1,Hemlock,,41.2,L,6.9,,,
2011,S,11.3,Hemlock,,27.5,L,7.8,,,
2009,S,9.1,Hemlock,,17.5,L,8.25,,,
2011,S,11.3,Hemlock,,22.3,L,8.3,,,
2011,S,11.2,hemlock,,27.5,L,8.5,,,
2011,S,11.3,Hemlock,,16.0,L,8.7,,,
2019,old,19.2,hemlock,,18.5,D,8.75,2,1,
